Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average,RSI
154.9394009763579,156.44221622222133,151.53826579166054,156.17527770996094,123055300,0.0,0.0,,
156.3631107358487,158.8941988363745,154.55380056141027,157.67808532714844,88966500,0.0,0.0,,
157.8659508846315,164.59900501150577,157.46057968949572,164.1442108154297,108256500,0.0,0.0,,
161.9987257835459,162.2261228748432,153.19927452380466,154.99871826171875,130525300,0.0,0.0,,
154.47393016141885,157.87016645905368,152.6619464103828,155.73143005371094,116124600,0.23,0.0,157.74554443359375,
153.40454213896933,154.2956897470024,149.9984252883887,150.56280517578125,131577900,0.0,0.0,156.6230499267578,
153.98877383234986,155.19676307417703,151.42426316473478,152.98870849609375,115366700,0.0,0.0,155.68517456054687,
151.98861793283714,153.9194149434989,144.37433231088616,145.0575408935547,142689800,0.0,0.0,151.8678405761719,
141.36431108790205,144.7605325429566,137.4333979353619,141.1563720703125,182602000,0.0,0.0,149.09937133789063,
143.166382668275,146.64183334952773,141.70095877974322,145.6615753173828,113990900,0.0,0.0,147.085400390625,
144.11693635723864,146.0675411981523,142.76041492801434,144.10702514648438,86643800,0.0,0.0,145.79424438476562,
147.39432076263918,148.29536450251672,145.23577724889682,147.7705841064453,78336300,0.0,0.0,144.75061950683593,
145.40412997962903,145.90910311193247,138.522547165129,139.43350219726562,109742900,0.0,0.0,143.6258117675781,
138.50273841418007,140.26521122445095,135.25503468905956,135.99765014648438,136095600,0.0,0.0,142.5940673828125,
137.72052158505213,139.3146701913345,131.30432764614642,136.23529052734375,137426100,0.0,0.0,140.70881042480468,33.10396491878626
136.4333163328522,141.84946005335837,136.2946953738204,141.70094299316406,117726300,0.0,0.0,140.22759399414062,37.31383500733005
139.42357835055688,140.57216058388687,135.9778467591175,138.97801208496094,104132700,0.0,0.0,138.46907958984374,28.754647644643768
137.06701075254938,140.3939287916645,136.97790051874162,139.13644409179688,92482700,0.0,0.0,138.40966796875,34.21365138372573
136.0372655338598,142.91883322079272,135.7897270191604,142.36434936523438,90601500,0.0,0.0,139.6830078125,37.32633890659518
143.95848681261234,148.20624074686208,143.82976196023938,148.16664123535156,90978500,0.0,0.0,142.06927795410155,47.75511184342007
147.60228857234978,149.17663006804636,145.39423390708356,147.37454223632812,103718400,0.0,0.0,143.20399780273436,44.574168126611106
148.42407436857832,150.2459691596697,146.22593134191806,147.2458038330078,74286600,0.0,0.0,144.85755615234376,52.49044873575993
146.37448100457388,149.7806134930978,145.41403032815106,149.72120666503906,72348100,0.0,0.0,146.9745086669922,60.074536185982936
145.4536009209189,146.51307283913454,143.03763811180775,143.94857788085938,88570300,0.0,0.0,147.29135437011718,48.04339619418835
145.58233197962088,147.10717750162084,143.4732992615203,144.7010955810547,71598400,0.0,0.0,146.5982452392578,50.69121789493233
142.92873191047823,147.53294183714334,142.68119341746288,147.2458038330078,67808200,0.0,0.0,146.57249755859374,49.373080523934945
147.117095040655,148.3943871562763,146.0081273056317,146.50320434570312,53950200,0.0,0.0,146.42397766113282,60.31790146551079
145.63185133894353,146.49328047951013,141.12664764179874,141.23556518554688,69473000,0.0,0.0,144.7268493652344,57.25650157783122
138.8987945654561,139.3740642299265,135.7104976453896,135.77981567382812,91437900,0.0,0.0,143.0930969238281,49.44870174339532
131.5617859740756,133.86884711264238,130.14587269591448,130.58154296875,122207100,0.0,0.0,140.2691864013672,36.45360507383102
131.81920232423082,132.5717138992893,130.18543921525114,131.4528350830078,84784300,0.0,0.0,137.1105926513672,40.39917862429693
132.96776745837676,135.98774003123526,130.85874981614302,134.09654235839844,91533000,0.0,0.0,134.62926025390624,43.953407397128565
130.77954962913986,131.08649496936542,127.7694728358176,128.77943420410156,108123900,0.0,0.0,132.13803405761718,34.479617121318256
128.78934383923928,131.7697020745458,128.53189411815816,130.26466369628906,134520300,0.0,0.0,131.03500366210938,27.309221102534224
132.106367134107,135.7105276972627,132.00736078254963,134.53224182128906,81000500,0.0,0.0,131.82514343261718,35.040364193126734
133.4628655105341,136.4036244186778,132.59154016969524,134.01736450195312,73409200,0.0,0.0,132.33804931640626,34.72794988864888
135.47287955380023,137.2254412817974,134.2945938588482,136.90859985351562,72433800,0.0,0.0,132.90046081542968,35.34869664719527
138.52254745012658,140.51276678737705,138.39383769567775,140.26522827148438,89116800,0.0,0.0,135.19761962890624,45.54172595222582
141.29498184983507,142.07721202084508,139.58201955025223,140.26522827148438,70207900,0.0,0.0,137.1977325439453,44.53126675417874
140.73060170273257,142.00789379527586,135.96796308066473,136.08677673339844,67083400,0.0,0.0,137.50863952636718,36.77538564362666
136.10658430281472,139.28497038787688,135.3243541313644,137.85914611816406,66242400,0.0,0.0,138.27699584960936,39.999964695187074
135.89865131814642,137.00761908432995,132.45291925282422,135.37387084960938,98964500,0.0,0.0,137.9700500488281,42.75220460883051
134.70054355610543,137.67100555707282,134.3242953097976,137.5620880126953,71051600,0.0,0.0,137.4294219970703,52.397445144456725
136.41352169392565,140.21570945249962,135.58178084603978,140.16619873046875,73353800,0.0,0.0,137.40961608886718,63.860240478945514
139.9582833547265,142.70099924099998,139.6909375263549,141.5128173828125,74064300,0.0,0.0,138.49482421875,64.35032599388194
141.87917340010168,145.1070854141634,141.86927729824623,144.9090576171875,66253700,0.0,0.0,139.9048065185547,65.09961656922147
143.82979659410435,146.09725821926207,143.57236193591953,145.59226989746094,64547800,0.0,0.0,141.948486328125,76.96954120895259
144.23571438528464,145.19616486088944,142.36432414995608,143.44358825683594,63141600,0.0,0.0,143.12478637695312,70.69977567298105
