Name,MC,MP
BitcoinBTC,"127,147,523,089,061",52.51
EthereumETH,"39,598,345,371,846",16.35
Tether_USDtUSDT,"9,979,505,635,531",4.12
BNBBNB,"8,090,142,366,320",3.34
SolanaSOL,"7,170,646,230,492",2.96
XRPXRP,"3,136,993,675,573",1.3
USDCUSDC,"3,004,227,738,199",1.24
DogecoinDOGE,"2,549,611,292,167",1.05
ToncoinTON,"2,203,590,704,774",0.91
CardanoADA,"1,938,619,724,455",0.8
AvalancheAVAX,"1,669,259,795,071",0.69
Shiba_InuSHIB,"1,513,406,104,560",0.62
Bitcoin_CashBCH,"1,154,038,861,808",0.48
PolkadotDOT,"1,138,566,921,994",0.47
TRONTRX,"1,008,718,531,488",0.42
ChainlinkLINK,"951,811,965,451",0.39
PolygonMATIC,"821,808,063,233",0.34
NEAR_ProtocolNEAR,"691,843,957,030",0.29
Internet_ComputerICP,"687,395,320,587",0.28
LitecoinLTC,"673,884,980,454",0.28
UniswapUNI,"624,415,396,997",0.26
UNUS_SED_LEOLEO,"503,767,634,381",0.21
DaiDAI,"498,035,658,292",0.21
AptosAPT,"456,371,933,472",0.19
Ethereum_ClassicETC,"448,661,934,061",0.19
StacksSTX,"427,056,939,474",0.18
FilecoinFIL,"427,362,688,057",0.18
MantleMNT,"408,614,716,235",0.17
CosmosATOM,"393,237,907,997",0.16
BittensorTAO,"391,493,102,302",0.16
ArbitrumARB,"366,357,129,503",0.15
CronosCRO,"363,204,985,555",0.15
ImmutableIMX,"349,908,620,562",0.14
StellarXLM,"348,691,406,879",0.14
RenderRNDR,"331,918,356,392",0.14
dogwifhatWIF,"327,098,863,456",0.14
HederaHBAR,"323,108,536,195",0.13
OKBOKB,"320,033,715,906",0.13
VeChainVET,"308,558,360,960",0.13
First_Digital_USDFDUSD,"307,126,858,304",0.13
KaspaKAS,"295,574,878,935",0.12
MakerMKR,"292,042,555,500",0.12
The_GraphGRT,"289,670,974,602",0.12
InjectiveINJ,"285,322,026,373",0.12
OptimismOP,"284,617,096,510",0.12
PepePEPE,"275,113,427,025",0.11
FantomFTM,"264,392,221,653",0.11
Theta_NetworkTHETA,"256,138,989,879",0.11
THORChainRUNE,"229,117,449,403",0.09
MoneroXMR,"227,461,988,324",0.09
Lido_DAOLDO,"221,211,769,728",0.09
Fetch.aiFET,"201,738,137,394",0.08
CoreCORE,"191,761,879,653",0.08
ArweaveAR,"188,997,276,403",0.08
SuiSUI,"188,133,897,564",0.08
CelestiaTIA,"187,640,891,101",0.08
EthenaENA,"185,462,636,815",0.08
AaveAAVE,"175,762,104,290",0.07
AlgorandALGO,"172,965,101,415",0.07
FLOKIFLOKI,"172,357,451,705",0.07
Bitcoin_SVBSV,"171,551,875,687",0.07
FlowFLOW,"171,227,324,235",0.07
GalaGALA,"170,085,332,657",0.07
SeiSEI,"169,488,336,176",0.07
Bitget_TokenBGB,"168,132,176,116",0.07
JupiterJUP,"167,088,345,154",0.07
BeamBEAM,"150,600,265,730",0.06
PendlePENDLE,"148,447,589,795",0.06
Nervos_NetworkCKB,"144,272,086,327",0.06
WormholeW,"142,342,496,089",0.06
ORDIORDI,"137,915,658,363",0.06
BitTorrent_(New)BTT,"134,665,822,973",0.06
FlareFLR,"134,563,119,748",0.06
BonkBONK,"134,400,903,659",0.06
MultiversXEGLD,"133,203,113,866",0.06
QuantQNT,"132,195,158,862",0.05
dYdX_(Native)DYDX,"132,260,045,430",0.05
NeoNEO,"131,350,424,175",0.05
Axie_InfinityAXS,"130,492,077,943",0.05
eCashXEC,"129,857,920,903",0.05
The_SandboxSAND,"128,636,003,302",0.05
StarknetSTRK,"125,836,176,109",0.05
SingularityNETAGIX,"124,040,821,254",0.05
ChilizCHZ,"119,534,567,364",0.05
SynthetixSNX,"119,719,316,562",0.05
ConfluxCFX,"116,876,538,938",0.05
TezosXTZ,"114,856,145,116",0.05
WorldcoinWLD,"111,156,102,923",0.05
EOSEOS,"110,415,041,978",0.05
RoninRON,"108,465,361,205",0.04
DecentralandMANA,"107,432,028,213",0.04
Pyth_NetworkPYTH,"106,747,178,557",0.04
MinaMINA,"105,560,954,882",0.04
OndoONDO,"101,566,099,503",0.04
KuCoin_TokenKCS,"95,001,406,004",0.04
JasmyCoinJASMY,"94,676,723,141",0.04
KavaKAVA,"94,108,011,376",0.04
ApeCoinAPE,"93,973,658,962",0.04
SATS1000SATS,"91,232,453,343",0.04
IOTAIOTA,"90,056,177,817",0.04
