,Name,MC,MP
0,BitcoinBTC,"125,570,400,184,500",69.18%
1,EthereumETH,"38,783,194,902,827",21.37%
2,Tether USDtUSDT,"9,994,418,976,531",5.51%
3,BNBBNB,"8,174,541,593,085",4.5%
4,SolanaSOL,"6,920,192,247,073",3.81%
5,XRPXRP,"3,096,918,792,150",1.71%
6,USDCUSDC,"3,002,545,598,544",1.65%
7,DogecoinDOGE,"2,504,580,269,202",1.38%
8,ToncoinTON,"2,221,102,133,249",1.22%
9,CardanoADA,"1,889,942,091,588",1.04%
10,AvalancheAVAX,"1,626,019,295,507",0.9%
11,Shiba InuSHIB,"1,489,007,489,414",0.82%
12,Bitcoin CashBCH,"1,124,698,938,580",0.62%
13,PolkadotDOT,"1,106,360,326,521",0.61%
14,TRONTRX,"965,039,507,322",0.53%
15,ChainlinkLINK,"937,343,959,689",0.52%
16,PolygonMATIC,"802,412,430,286",0.44%
17,Internet ComputerICP,"676,666,551,440",0.37%
18,NEAR ProtocolNEAR,"668,404,474,795",0.37%
19,LitecoinLTC,"661,690,321,108",0.36%
20,UniswapUNI,"611,483,489,601",0.34%
21,UNUS SED LEOLEO,"511,639,935,145",0.28%
22,DaiDAI,"498,863,500,336",0.27%
23,Ethereum ClassicETC,"442,480,269,570",0.24%
24,AptosAPT,"441,329,710,081",0.24%
25,FilecoinFIL,"416,346,156,015",0.23%
26,StacksSTX,"412,728,500,425",0.23%
27,MantleMNT,"392,851,792,137",0.22%
28,CosmosATOM,"387,823,250,133",0.21%
29,ArbitrumARB,"357,486,006,490",0.2%
30,BittensorTAO,"353,262,943,398",0.19%
31,CronosCRO,"354,202,095,908",0.2%
32,StellarXLM,"344,233,764,080",0.19%
33,ImmutableIMX,"341,343,147,299",0.19%
34,RenderRNDR,"321,753,392,039",0.18%
35,OKBOKB,"318,045,903,352",0.18%
36,dogwifhatWIF,"320,625,190,825",0.18%
37,HederaHBAR,"316,217,373,808",0.17%
38,First Digital USDFDUSD,"307,424,738,687",0.17%
39,KaspaKAS,"293,683,492,146",0.16%
40,VeChainVET,"293,582,445,811",0.16%
41,MakerMKR,"291,445,611,623",0.16%
42,InjectiveINJ,"282,372,902,303",0.16%
43,The GraphGRT,"282,090,533,768",0.16%
44,OptimismOP,"280,511,903,243",0.15%
45,PepePEPE,"268,534,967,783",0.15%
46,FantomFTM,"255,020,547,082",0.14%
47,Theta NetworkTHETA,"257,503,932,150",0.14%
48,MoneroXMR,"227,097,200,720",0.13%
49,Lido DAOLDO,"222,676,816,996",0.12%
50,THORChainRUNE,"220,610,337,430",0.12%
51,Fetch.aiFET,"197,556,576,741",0.11%
52,EthenaENA,"186,648,079,825",0.1%
53,ArweaveAR,"183,702,550,866",0.1%
54,CelestiaTIA,"182,452,158,383",0.1%
55,CoreCORE,"179,456,004,568",0.1%
56,SuiSUI,"179,961,297,775",0.1%
57,AaveAAVE,"170,532,476,569",0.09%
58,FLOKIFLOKI,"170,104,518,857",0.09%
59,Bitcoin SVBSV,"168,462,725,245",0.09%
60,AlgorandALGO,"168,739,773,034",0.09%
61,FlowFLOW,"167,174,008,710",0.09%
62,Bitget TokenBGB,"164,577,630,220",0.09%
63,GalaGALA,"163,918,285,201",0.09%
64,SeiSEI,"163,044,550,213",0.09%
65,JupiterJUP,"163,666,767,553",0.09%
66,BeamBEAM,"149,511,908,912",0.08%
67,Nervos NetworkCKB,"147,476,589,239",0.08%
68,PendlePENDLE,"145,152,132,965",0.08%
69,WormholeW,"135,702,944,491",0.07%
70,ORDIORDI,"137,373,001,147",0.08%
71,FlareFLR,"131,975,911,973",0.07%
72,BitTorrent (New)BTT,"130,967,787,080",0.07%
73,BonkBONK,"130,166,853,404",0.07%
74,QuantQNT,"129,781,812,059",0.07%
75,MultiversXEGLD,"129,759,099,421",0.07%
76,dYdX (Native)DYDX,"129,101,046,432",0.07%
77,eCashXEC,"128,266,724,987",0.07%
78,NeoNEO,"126,293,786,165",0.07%
79,Axie InfinityAXS,"125,278,779,560",0.07%
80,ConfluxCFX,"125,095,247,491",0.07%
81,The SandboxSAND,"124,453,114,009",0.07%
82,StarknetSTRK,"123,992,295,477",0.07%
83,SingularityNETAGIX,"122,128,202,977",0.07%
84,ChilizCHZ,"118,817,372,889",0.07%
85,SynthetixSNX,"115,821,811,971",0.06%
86,TezosXTZ,"111,539,873,705",0.06%
87,WorldcoinWLD,"108,760,322,019",0.06%
88,EOSEOS,"107,093,355,166",0.06%
89,RoninRON,"105,740,099,811",0.06%
90,DecentralandMANA,"104,513,197,272",0.06%
91,Pyth NetworkPYTH,"104,437,603,134",0.06%
92,MinaMINA,"102,965,896,188",0.06%
93,OndoONDO,"97,006,605,768",0.05%
94,KuCoin TokenKCS,"92,830,601,354",0.05%
95,JasmyCoinJASMY,"93,105,872,367",0.05%
96,KavaKAVA,"91,466,890,051",0.05%
97,ApeCoinAPE,"90,938,172,492",0.05%
98,SATS1000SATS,"90,332,556,965",0.05%
99,IOTAIOTA,"87,578,794,135",0.05%
