,Unnamed: 0,#,Наименование,Цена,1h %,% 24ч,7d %,Рыночная капитализация,Объем (24 ч),Циркулирующее предложение,Последние 7 дней
77,,78,NeoNEO,"₽1,855.91",1.05%,5.55%,35.06%,"₽130.93B₽130,932,469,269","₽46,720,331,15325,118,841 NEO","70,538,831 NEO",
78,,79,Axie InfinityAXS,₽906.72,0.96%,3.62%,0.88%,"₽129.78B₽129,777,516,683","₽4,378,349,6224,836,986 AXS","143,112,033 AXS",
79,,80,eCashXEC,₽0.006565,1.00%,3.71%,11.47%,"₽129.24B₽129,235,740,366","₽7,046,087,3341,074,347,561,625 XEC","19,686,129,673,092 XEC",
80,,81,The SandboxSAND,₽56.67,1.26%,3.86%,1.94%,"₽127.61B₽127,610,930,986","₽10,115,881,322178,749,938 SAND","2,251,731,926 SAND",
81,,82,StarknetSTRK,₽171.81,1.27%,5.76%,6.04%,"₽125.09B₽125,091,687,301","₽12,955,533,07775,540,427 STRK","728,000,000 STRK",
82,,83,SingularityNETAGIX,₽96.28,1.25%,6.03%,5.94%,"₽123.48B₽123,483,003,080","₽10,997,652,534114,512,842 AGIX","1,282,016,182 AGIX",
83,,84,ChilizCHZ,₽13.41,1.17%,7.19%,8.21%,"₽119.19B₽119,187,172,006","₽8,315,566,446621,335,782 CHZ","8,888,289,967 CHZ",
84,,85,SynthetixSNX,₽362.48,1.27%,6.19%,6.65%,"₽118.83B₽118,827,231,502","₽3,506,904,2639,684,855 SNX","327,769,196 SNX",
85,,86,ConfluxCFX,₽30.21,1.06%,9.08%,13.42%,"₽116.35B₽116,348,051,867","₽5,998,337,461199,009,842 CFX","3,851,052,785 CFX",
86,,87,TezosXTZ,₽116.92,0.98%,3.69%,0.28%,"₽114.3B₽114,297,530,577","₽2,851,342,33324,414,945 XTZ","977,553,934 XTZ",
87,,88,WorldcoinWLD,₽611.39,0.71%,5.98%,7.41%,"₽110.72B₽110,716,358,089","₽21,680,755,28835,571,203 WLD","181,045,606 WLD",
88,,89,EOSEOS,₽98.06,0.76%,4.40%,6.38%,"₽110.09B₽110,089,670,632","₽16,873,346,331172,065,821 EOS","1,122,564,046 EOS",
89,,90,RoninRON,₽346.53,0.88%,4.43%,0.14%,"₽107.99B₽107,992,188,051","₽1,986,948,831ron 5,731,110","311,599,415 RON",
90,,91,DecentralandMANA,₽55.91,1.27%,2.76%,0.73%,"₽106.7B₽106,703,656,627","₽9,108,006,291163,324,703 MANA","1,908,319,865 MANA",
91,,92,Pyth NetworkPYTH,₽70.69,1.33%,7.20%,13.84%,"₽106.06B₽106,059,743,490","₽6,595,931,37993,446,015 PYTH","1,499,989,195 PYTH",
92,,93,MinaMINA,₽96.92,1.04%,4.89%,3.62%,"₽105.01B₽105,007,825,772","₽4,111,880,92642,507,076 MINA","1,083,589,493 MINA",
93,,94,OndoONDO,₽72.26,0.74%,2.08%,5.32%,"₽100.49B₽100,486,025,086","₽14,503,067,449200,544,415 ONDO","1,389,759,838 ONDO",
94,,95,KuCoin TokenKCS,₽989.38,0.02%,2.38%,0.16%,"₽95.08B₽95,082,661,301","₽226,425,204229,181 KCS","96,132,689 KCS",
95,,96,JasmyCoinJASMY,₽1.91,0.68%,5.24%,4.51%,"₽94.28B₽94,276,890,052","₽8,280,426,6184,321,866,374 JASMY","49,299,999,677 JASMY",
96,,97,KavaKAVA,₽86.58,0.85%,6.04%,0.74%,"₽93.77B₽93,765,246,716","₽2,476,522,59528,647,042 KAVA","1,082,860,629 KAVA",
97,,98,ApeCoinAPE,₽154.49,1.17%,4.40%,6.83%,"₽93.47B₽93,466,165,266","₽5,175,575,83333,549,335 APE","604,895,833 APE",
98,,99,SATS1000SATS,₽0.04305,1.56%,4.92%,2.62%,"₽90.58B₽90,582,568,295","₽2,995,507,92169,541,894,944 1000SATS","2,100,000,000,000 1000SATS",
99,,100,IOTAIOTA,₽27.95,1.05%,4.87%,2.43%,"₽89.75B₽89,752,851,685","₽1,847,772,37266,273,521 IOTA","3,210,367,601 IOTA",
