Тип занятия,Дата,Избранное,Название,Расстояние,Калории,Время,Средняя ЧП,Максимальная ЧП,Средняя скорость,Максимальная скорость,Общий подъем,Средняя длина шага,Среднее вертикальное соотношение,Среднее вертикальное колебание,Среднее время контакта с землей,Средняя частота вращения,Максимальная частота вращения,Normalized Power® (NP®),Training Stress Score®,Максимальная средняя мощность (20 минут),Средняя мощность,Максимальная мощность,Сложность,Флоу,Средний балл SWOLF,Средняя частота гребков,Общее число повторов,Общее время погружений,Минимальная температура,Поверхностный интервал,Декомпрессия,Время лучшего круга,Количество кругов,Максимальная температура,Расстояние,Время в движении,Истекшее время,Минимальная высота,Максимальная высота
Велотренажер,2023-11-02 05:02:46,false,"Без имени","38.60","638","01:28:13","122","161","26.3","65.8","367","0.00","0.0","0.0","0","77","135","198","0.0","209","127","721","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:28:13.00","1","0.0","38.60","01:25:14","01:28:13","0","100"
Велотренажер,2023-10-31 20:04:15,false,"Без имени","31.79","495","00:54:28","135","162","35.0","70.5","268","0.00","0.0","0.0","0","86","131","223","0.0","190","158","696","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","54:28.00","1","0.0","31.79","00:54:19","00:54:29","0","83"
Велотренажер,2023-10-30 20:02:23,false,"Без имени","31.06","532","00:49:26","143","162","37.7","60.6","266","0.00","0.0","0.0","0","87","126","222","0.0","228","184","620","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","49:26.00","1","0.0","31.06","00:49:21","00:49:26","0","82"
Велотренажер,2023-10-29 05:30:16,false,"Без имени","20.26","381","00:46:52","121","160","25.9","75.4","304","0.00","0.0","0.0","0","77","128","207","0.0","240","138","663","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","46:51.51","1","0.0","20.26","00:43:10","00:46:51","4","249"
Велотренажер,2023-10-28 06:04:47,false,"Без имени","30.44","645","01:08:37","136","152","26.6","75.3","593","0.00","0.0","0.0","0","78","181","195","0.0","216","164","351","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:08:37.32","1","0.0","30.44","00:57:37","01:08:07","-6","374"
Велотренажер,2023-10-26 20:06:33,false,"Без имени","28.81","539","00:48:59","150","172","35.3","71.7","268","0.00","0.0","0.0","0","88","141","228","0.0","229","191","776","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","48:59.00","1","0.0","28.81","00:48:32","00:48:59","-6","100"
Велотренажер,2023-10-25 05:01:32,false,"Без имени","32.62","582","00:58:06","141","166","33.7","71.0","279","0.00","0.0","0.0","0","86","127","200","0.0","201","170","591","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","58:06.00","1","0.0","32.62","00:57:15","00:58:05","-6","100"
Велотренажер,2023-10-24 05:02:24,false,"Без имени","33.78","555","01:13:02","131","155","27.8","68.2","287","0.00","0.0","0.0","0","78","107","161","0.0","172","133","359","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:13:01.84","1","0.0","33.78","01:10:27","01:12:31","-6","100"
Велотренажер,2023-10-21 21:01:28,false,"Без имени","37.90","636","01:10:04","143","162","32.5","66.1","721","0.00","0.0","0.0","0","80","143","191","0.0","211","157","775","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:10:04.00","1","0.0","37.90","01:10:00","01:10:04","-6","374"
Велотренажер,2023-10-20 05:01:50,false,"Без имени","38.75","852","01:37:10","132","157","23.9","77.6","1,179","0.00","0.0","0.0","0","79","196","186","0.0","210","154","285","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:37:09.71","1","0.0","38.75","01:32:38","01:37:12","0","1,047"
Велотренажер,2023-10-19 06:25:50,false,"Без имени","15.58","247","00:27:50","125","152","33.6","56.8","129","0.00","0.0","0.0","0","78","127","211","0.0","191","155","688","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","27:50.23","1","0.0","15.58","00:27:40","00:27:50","-6","58"
Велотренажер,2023-10-16 06:02:59,false,"Без имени","22.83","323","00:39:38","129","159","34.6","56.6","65","0.00","0.0","0.0","0","77","117","187","0.0","176","142","556","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","39:37.100","1","0.0","22.83","00:39:34","00:39:37","-6","28"
Велотренажер,2023-10-14 07:21:11,false,"Без имени","31.10","530","01:12:12","126","159","25.8","83.8","686","0.00","0.0","0.0","0","67","117","194","0.0","237","132","601","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:12:12.14","1","0.0","31.10","01:08:35","01:12:11","-6","516"
Велотренажер,2023-10-13 06:02:15,false,"Без имени","25.22","378","00:42:54","139","164","35.3","122.1","65","0.00","0.0","0.0","0","81","118","188","0.0","209","151","456","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","42:53.60","1","0.0","25.22","00:42:36","00:42:39","-6","28"
Велотренажер,2023-10-12 06:02:22,false,"Без имени","22.03","347","00:36:31","138","188","36.2","57.4","61","0.00","0.0","0.0","0","85","136","202","0.0","212","165","750","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","36:31.31","1","0.0","22.03","00:36:11","00:36:31","-6","28"
Велотренажер,2023-10-11 20:03:49,false,"Без имени","22.71","363","00:34:57","139","164","39.0","56.1","64","0.00","0.0","0.0","0","84","119","216","0.0","218","181","561","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","34:57.00","1","0.0","22.71","00:34:52","00:34:57","-6","28"
Велотренажер,2023-10-11 05:02:47,false,"Без имени","30.29","429","00:51:38","130","168","35.2","60.3","86","0.00","0.0","0.0","0","81","123","201","0.0","225","144","660","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","51:37.93","1","0.0","30.29","00:51:32","00:51:37","-6","28"
Велотренажер,2023-10-09 20:01:33,false,"Без имени","41.45","617","01:05:14","139","162","38.1","64.3","169","0.00","0.0","0.0","0","88","128","194","0.0","206","162","698","0.0","0.0","0","0","0","0:00","0.0","0:00","Нет","01:05:14.00","1","0.0","41.45","01:05:10","01:05:14","-6","28"
